id,type,floor,x,y
1,2,1,13,18
2,3,1,0,18
3,8,1,0,0
4,8,1,-1,0
5,3,1,-5,0
6,3,1,-5,3
7,3,1,-9,3
8,3,1,-11,3
9,2,1,-11,-1
10,1,1,-9,9
11,3,1,-5,-14
12,3,1,-9,-14
13,1,1,-9,-18
14,3,1,0,122
15,3,1,3,122
16,3,1,3,144
17,3,1,26,144
18,3,1,26,148
19,103,1,26,152
20,104,1,26,133
21,3,1,-8,144
22,8,1,-8,152
23,3,1,-57,144
24,3,1,-58,144
25,102,1,-58,159
26,101,1,-57,134
27,3,1,0,-142
28,4,1,-3,-142
29,3,1,0,-161
30,3,1,-16,-161
31,105,1,-16,-171
32,3,1,0,-271
33,3,1,0,-272
34,3,1,0,-306
35,110,1,0,-315
36,3,1,-16,-306
37,107,1,-16,-406
38,3,1,27,-161
39,3,1,27,-173
40,8,1,27,-175
41,3,1,41,-173
42,3,1,41,-186
43,5,1,41,-197
44,3,1,55,-186
45,2,1,55,-174
46,1,2,-9,19
47,3,2,-11,12
48,8,2,-5,12
49,2,2,-11,0
50,3,2,-9,22
51,3,2,-5,22
52,3,2,-5,23
53,8,2,-1,23
54,3,2,-14,22
55,3,2,-14,23
56,7,2,-18,23
57,3,2,-8,162
58,3,2,-8,166
59,3,2,-7,166
60,3,2,-7,168
61,8,2,0,168
62,3,2,-11,166
63,3,2,-11,167
64,7,2,-16,167
65,7,2,-28,12
66,1,2,-9,-28
67,3,2,-9,-33
68,3,2,-6,-33
69,3,2,-6,-35
70,8,2,-1,-35
71,3,2,-10,-33
72,3,2,-10,-35
73,7,2,-17,-35
74,1,2,27,-185
75,3,2,27,-190
76,3,2,30,-190
77,3,2,30,-194
78,8,2,35,-194
79,3,2,23,-190
80,3,2,23,-194
81,7,2,19,-194
82,7,2,-79,11
83,3,2,-79,9
84,3,2,-73,9
85,3,2,-73,5
86,1,2,-69,5
87,7,2,-52,9
88,3,2,-58,9
89,3,2,-58,5
90,2,2,-54,5
91,7,2,-23,13
92,3,2,-23,11
93,3,2,-26,11
94,3,2,-26,8
95,1,2,-29,8
96,7,2,-86,-20
97,3,2,-86,-24
98,2,2,-86,-72
99,7,2,154,22
100,3,2,154,20
101,3,2,158,20
102,3,2,158,16
103,1,2,161,16
104,7,2,211,22
105,3,2,211,20
106,3,2,205,20
107,3,2,205,16
108,1,2,201,16
109,2,4,-87,-72
110,8,4,-4,-72
111,8,4,-3,-72
112,3,4,77,-72
113,3,4,80,-72
114,3,4,77,-77
115,3,4,72,-77
116,1,4,72,-82
117,2,4,77,-59
118,2,1,77,-60
119,3,1,81,-60
120,3,1,96,-60
121,3,1,112,-60
122,3,1,112,-68
123,8,1,96,-47
124,8,1,96,-46
125,3,1,96,0
126,3,1,144,0
127,3,1,144,1
128,3,1,144,34
129,206,1,151,34
130,3,1,181,1
131,3,1,144,-11
132,3,1,144,-57
133,202,1,134,-57
134,201,1,163,-57
135,3,1,20,0
136,203,1,20,-37
137,3,1,20,34
138,205,1,31,34
139,3,1,11,34
140,3,1,11,35
141,204,1,10,35
142,3,1,0,0
143,4,1,0,-1
144,3,1,-24,0
145,3,1,-33,0
146,8,1,-36,0
147,8,1,-37,0
148,3,1,-43,0
149,3,1,-43,4
150,3,1,-40,4
151,3,1,-40,8
152,1,1,-39,8
153,3,1,-56,4
154,3,1,-56,5
155,2,1,-53,5
156,3,1,-59,5
157,3,1,-43,-2
158,3,1,-54,-2
159,3,1,-118,-2
160,5,1,-118,-3
161,3,1,-43,-38
162,1,1,-36,-38
163,1,1,-67,-38
164,3,1,181,16
165,106,1,55,-174
166,108,1,-16,-406
167,109,1,-16,-406
168,207,1,151,34
169,1,1,191,16
170,1,1,171,16
171,3,1,181,-14
172,1,1,191,-14
173,1,1,171,-14
